,firstName,lastName,commonName,height,skillMoves,weakFootAbility,preferredFoot,leagueName,weight,alternatePositions_0_label,playerAbilities_0_label,playerAbilities_0_description,playerAbilities_0_type_label,playerAbilities_1_label,playerAbilities_1_description,playerAbilities_1_type_label,playerAbilities_2_label,playerAbilities_2_description,playerAbilities_2_type_label,playerAbilities_3_label,playerAbilities_3_description,playerAbilities_3_type_label,playerAbilities_4_label,playerAbilities_4_description,playerAbilities_4_type_label,playerAbilities_5_label,playerAbilities_5_description,playerAbilities_5_type_label,playerAbilities_6_label,playerAbilities_6_description,playerAbilities_6_type_label,nationality,team_name,position_name,position_positionType_name,acceleration,agility,jumping,stamina,strength,aggression,balance,ballControl,composure,crossing,defensiveAwareness,dribbling,finishing,freeKickAccuracy,gkDiving,gkHandling,gkKicking,gkPositioning,gkReflexes,headingAccuracy,longPassing,penalties,positioning,reactions,shortPassing,shotPower,standingTackle,vision,volleys,alternatePositions_1_label,alternatePositions_2_label
10,Vítor,Machado Ferreira,Vitinha,172,4,3,1,Ligue 1 McDonald's,64,Center Defensive Midfielder,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Tiki Taka,Accurate first-time Ground Passes,Play Style,Intercept,Increased reach and possession retention in interceptions,Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,Technical+,"Higher speed Controlled Sprint, precise wide turns while dribbling",Play Style Plus,Portugal,Paris SG,Center Midfielder,Midfielder,75,91,66,87,59,77,89,88,88,78,74,91,80,69,12,13,8,5,5,52,89,88,81,88,90,77,79,90,62,Center Attacking Midfielder,
11,Gianluigi,Donnarumma,,196,1,3,1,Premier League,90,,Footwork,"Exclusive foot saves, better performance on low shots",Play Style,Deflector+,"Unique deflection animations, max power parries to safer areas",Play Style Plus,,,,,,,,,,,,,,,,Italy,Manchester City,Goalkeeper,Defense,50,57,73,41,75,30,38,30,54,12,21,28,12,14,90,83,70,87,90,12,34,24,14,87,36,53,14,60,8,,
12,Pedro,González López,Pedri,174,4,4,1,LALIGA EA SPORTS,60,Center Defensive Midfielder,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Tiki Taka,Accurate first-time Ground Passes,Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,First Touch+,"Minimal trapping error, faster dribbling transition",Play Style Plus,,,,Spain,FC Barcelona,Center Midfielder,Midfielder,79,89,72,90,73,72,92,91,90,76,74,91,77,62,12,7,11,8,8,50,88,53,86,87,90,68,85,91,56,Center Attacking Midfielder,
13,Joshua,Kimmich,,177,3,4,1,Bundesliga,75,Right Back,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Whipped Pass,"Accurate, faster crosses with more curve",Play Style,Anticipate,"Improved standing tackle success, possibility of stopping ball at feet",Play Style,Press Proven,"Close control at jog speed, shields ball more effectively",Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,Long Ball Pass+,"Even more accurate, faster Lob and Lofted Through Passes",Play Style Plus,,,,Germany,FC Bayern München,Center Defensive Midfielder,Midfielder,75,83,77,92,69,89,84,86,86,92,82,82,68,79,8,15,7,15,15,72,92,71,78,89,89,78,86,86,69,Center Midfielder,
14,Alisson,Ramses Becker,Alisson,193,1,3,1,Premier League,91,,Far Throw,Unique goalkeeper throw animations with longer throw distance,Play Style,Deflector,"Unique deflection animations, powerful parries to safer areas",Play Style,Rush Out+,"Unique reflex saves, better close shot reads, greater rush speed",Play Style Plus,,,,,,,,,,,,,Brazil,Liverpool,Goalkeeper,Defense,60,40,82,32,78,27,37,42,66,17,15,27,13,18,86,85,86,90,89,29,58,23,13,87,60,65,19,66,20,,
15,Harry,Kane,,188,3,4,1,Bundesliga,86,,Precision Header,Performs headers with increased accuracy and power.,Play Style,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Finesse Shot+,Faster finesse shots with max curve and accuracy,Play Style Plus,,,,England,FC Bayern München,Striker,Attack,62,67,87,76,86,80,72,87,92,80,46,80,93,69,8,10,11,14,11,90,79,95,94,94,86,91,44,86,89,,
16,Federico,Valverde,,182,3,4,1,LALIGA EA SPORTS,74,Center Defensive Midfielder,Power Shot,Faster power shots with increased speed,Play Style,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Intercept,Increased reach and possession retention in interceptions,Play Style,Slide Tackle,Stops ball at feet during slide tackles,Play Style,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,Play Style,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",Play Style,Relentless+,"Max half time fatigue recovery, longer teammate contain and press",Play Style Plus,Uruguay,Real Madrid,Center Midfielder,Midfielder,84,77,82,93,82,81,68,88,84,78,82,84,80,69,6,10,6,15,8,63,88,59,86,89,88,91,87,86,78,Right Back,
17,Vinícius José,de Oliveira Júnior,Vini Jr.,176,5,4,1,LALIGA EA SPORTS,73,Striker,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Chip Shot,"Faster, more accurate chip shots",Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Quick Step+,Significantly faster acceleration during Explosive Sprint,Play Style Plus,Brazil,Real Madrid,Left Wing,Attack,95,94,74,84,65,58,84,90,83,81,32,93,88,62,5,7,7,7,10,50,77,74,86,85,83,81,25,85,73,Left Midfielder,
18,Florian,Wirtz,,177,4,4,1,Premier League,71,Striker,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Chip Shot,"Faster, more accurate chip shots",Play Style,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Incisive Pass+,"Most accurate through passes, max curve on swerves, top speed precision passes",Play Style Plus,Germany,Liverpool,Center Attacking Midfielder,Midfielder,82,88,65,87,59,63,87,92,86,87,64,90,84,74,14,14,13,6,10,43,87,66,85,88,91,78,49,91,81,Center Midfielder,
19,Thibaut,Courtois,,200,1,3,2,LALIGA EA SPORTS,96,,Far Throw,Unique goalkeeper throw animations with longer throw distance,Play Style,Rush Out,"Unique reflex saves, better close shot reads, faster rush",Play Style,Cross Claimer+,"Unique punching animations, max power punches, faster crosses coverage",Play Style Plus,,,,,,,,,,,,,Belgium,Real Madrid,Goalkeeper,Defense,42,63,68,38,70,23,45,23,66,14,20,13,14,20,85,89,76,88,90,13,35,27,13,88,33,57,18,44,12,,
20,Robert,Lewandowski,,185,4,4,1,LALIGA EA SPORTS,81,,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Power Shot,Faster power shots with increased speed,Play Style,Precision Header,Performs headers with increased accuracy and power.,Play Style,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",Play Style,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Chip Shot+,Quicker chip shots with exceptional accuracy,Play Style Plus,Poland,FC Barcelona,Striker,Attack,73,77,91,76,89,81,83,88,87,76,35,84,92,84,15,6,12,8,10,87,70,90,90,89,84,89,42,81,86,,
21,Lautaro,Martínez,,174,4,4,1,Serie A Enilive,72,,Power Shot,Faster power shots with increased speed,Play Style,Precision Header,Performs headers with increased accuracy and power.,Play Style,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,Enforcer,Performs dribble Shoulder Challenges and Shielding with increased effectiveness.,Play Style,Gamechanger+,Fancy and Trivela shots are performed with greatly improved accuracy.,Play Style Plus,Argentina,Lombardia FC,Striker,Attack,83,88,91,86,80,87,87,84,88,68,45,81,93,65,11,8,8,8,13,86,72,74,93,92,78,87,50,79,92,,
22,Alexander,Isak,,192,4,4,1,Premier League,77,,Power Shot,Faster power shots with increased speed,Play Style,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Rapid,"Higher sprint speed while dribbling, reduced error on knock-ons",Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Finesse Shot+,Faster finesse shots with max curve and accuracy,Play Style Plus,,,,Sweden,Liverpool,Striker,Attack,86,73,90,82,79,58,69,87,88,68,35,88,91,64,7,6,9,7,11,82,60,86,89,87,79,91,34,80,81,,
23,Jamal,Musiala,,184,5,4,1,Bundesliga,72,Left Midfielder,Precision Header,Performs headers with increased accuracy and power.,Play Style,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,Trickster,Performs unique flick Skill Moves,Play Style,Technical+,"Higher speed Controlled Sprint, precise wide turns while dribbling",Play Style Plus,Germany,FC Bayern München,Center Attacking Midfielder,Midfielder,85,94,80,73,61,59,93,85,83,70,64,94,86,59,6,9,8,8,11,75,79,61,88,89,87,80,66,84,75,Center Midfielder,Striker
24,Gabriel,dos S. Magalhães,Gabriel,190,2,2,2,Premier League,87,,Precision Header,Performs headers with increased accuracy and power.,Play Style,Bruiser+,Even greater strength in physical tackles,Play Style Plus,,,,,,,,,,,,,,,,Brazil,Arsenal,Center Back,Defense,61,51,88,71,89,86,37,71,79,42,89,64,37,31,12,8,13,10,7,90,76,51,52,88,79,62,88,63,33,,
25,Bukayo,Saka,,178,3,4,2,Premier League,65,Right Midfielder,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,Whipped Pass+,"Highly accurate, faster crosses with more curve and powerful driven crosses",Play Style Plus,,,,,,,,,,,,,England,Arsenal,Right Wing,Attack,87,85,72,86,68,68,88,88,82,90,60,89,84,74,7,8,13,9,13,49,77,87,86,88,85,79,62,86,79,,
26,Jan,Oblak,,188,1,3,1,LALIGA EA SPORTS,87,,Far Throw,Unique goalkeeper throw animations with longer throw distance,Play Style,Far Reach,"Unique far dive animations, better long shot saves",Play Style,Cross Claimer+,"Unique punching animations, max power punches, faster crosses coverage",Play Style Plus,,,,,,,,,,,,,Slovenia,Atlético de Madrid,Goalkeeper,Defense,42,64,72,42,78,36,48,30,68,13,27,12,11,14,85,90,78,86,87,15,40,11,11,85,43,59,14,67,13,,
27,Cole,Palmer,,185,4,3,2,Premier League,76,Right Midfielder,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Inventive+,Fancy and Trivela passes are performed with greatly improved accuracy.,Play Style Plus,England,Chelsea,Center Attacking Midfielder,Midfielder,76,80,71,83,60,55,78,89,89,85,50,87,82,81,7,6,10,14,14,60,86,90,87,88,87,85,50,89,70,Striker,
28,Khvicha,Kvaratskhelia,,183,5,5,1,Ligue 1 McDonald's,70,Right Wing,Finesse Shot,Faster finesse shots with more curve and accuracy,Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Technical,"Faster Controlled Sprint, precise wide turns while dribbling",Play Style,Trickster,Performs unique flick Skill Moves,Play Style,Inventive+,Fancy and Trivela passes are performed with greatly improved accuracy.,Play Style Plus,,,,Georgia,Paris SG,Left Wing,Attack,85,86,87,83,76,73,84,88,84,79,53,89,81,74,9,15,8,14,8,62,78,70,87,84,87,78,62,85,64,Left Midfielder,
29,Alessandro,Bastoni,,190,2,2,2,Serie A Enilive,75,,Pinged Pass,Faster ground passes without affecting receiver's trapping,Play Style,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Whipped Pass,"Accurate, faster crosses with more curve",Play Style,Block,Increased reach and success in blocking,Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,,,,,,,Italy,Lombardia FC,Center Back,Defense,71,64,88,81,81,83,60,82,85,72,87,74,39,41,11,5,9,11,12,86,84,50,39,89,82,59,90,72,44,,
30,Serhou,Guirassy,,187,3,4,1,Bundesliga,82,,Chip Shot,"Faster, more accurate chip shots",Play Style,Precision Header,Performs headers with increased accuracy and power.,Play Style,Acrobatic,"Perform volleys with increased accuracy, acrobatic volley animations",Play Style,Low Driven Shot,"Enhances a player's ability to execute low driven shots with increased accuracy, faster ball travel, and quicker shot execution.",Play Style,First Touch,"Reduced trapping error, faster dribbling transition",Play Style,Finesse Shot+,Faster finesse shots with max curve and accuracy,Play Style Plus,,,,Guinea,Borussia Dortmund,Striker,Attack,74,76,90,84,85,76,77,86,88,65,42,83,90,67,11,8,12,12,8,88,72,83,90,86,83,91,44,79,87,,
31,Kevin,De Bruyne,,181,4,5,1,Serie A Enilive,75,Center Attacking Midfielder,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",Play Style,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Pinged Pass,Faster ground passes without affecting receiver's trapping,Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,Whipped Pass+,"Highly accurate, faster crosses with more curve and powerful driven crosses",Play Style Plus,,,,,,,Belgium,SSC Napoli,Center Midfielder,Midfielder,65,68,70,66,74,73,66,89,87,93,65,85,78,83,15,13,5,10,13,55,93,83,81,89,92,90,70,92,81,,
32,Frenkie,de Jong,,181,4,3,1,LALIGA EA SPORTS,74,Center Defensive Midfielder,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,Press Proven,"Close control at jog speed, shields ball more effectively",Play Style,Tiki Taka+,Even greater accuracy in first-time Ground Passes,Play Style Plus,,,,,,,,,,Holland,FC Barcelona,Center Midfielder,Midfielder,80,87,82,87,73,74,79,88,90,78,76,86,75,64,7,13,10,10,9,72,87,53,78,87,90,68,78,88,70,,
33,Moisés,Caicedo,,178,3,3,1,Premier League,73,Center Midfielder,Pinged Pass,Faster ground passes without affecting receiver's trapping,Play Style,Tiki Taka,Accurate first-time Ground Passes,Play Style,Intercept,Increased reach and possession retention in interceptions,Play Style,Anticipate,"Improved standing tackle success, possibility of stopping ball at feet",Play Style,Press Proven,"Close control at jog speed, shields ball more effectively",Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,Slide Tackle+,"Greatly improved slide tackle coverage, stops ball at feet",Play Style Plus,Ecuador,Chelsea,Center Defensive Midfielder,Midfielder,76,80,80,90,77,85,79,83,83,65,83,79,57,55,15,6,13,9,13,70,84,55,63,84,85,75,86,79,60,,
34,Declan,Rice,,185,3,3,1,Premier League,80,Center Midfielder,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",Play Style,Whipped Pass,"Accurate, faster crosses with more curve",Play Style,Block,Increased reach and success in blocking,Play Style,Intercept,Increased reach and possession retention in interceptions,Play Style,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,Play Style,Press Proven,"Close control at jog speed, shields ball more effectively",Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,England,Arsenal,Center Defensive Midfielder,Midfielder,71,63,80,92,78,85,65,84,86,88,81,82,64,75,8,11,14,5,9,72,86,71,77,85,86,87,86,79,50,,
35,Marcos,Aoás Corrêa,Marquinhos,183,3,3,1,Ligue 1 McDonald's,75,,Jockey,"Faster Sprint Jockey, better transition speed",Play Style,Anticipate,"Improved standing tackle success, possibility of stopping ball at feet",Play Style,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,Play Style,Intercept+,Greater reach and possession retention in interceptions,Play Style Plus,,,,,,,,,,Brazil,Paris SG,Center Back,Defense,75,68,89,79,79,81,67,79,86,68,90,69,59,32,6,6,12,10,13,88,85,52,70,86,84,65,89,76,35,,
36,Yann,Sommer,,183,1,4,1,Serie A Enilive,77,,Far Reach+,"Unique far dive animations, even better long shot saves",Play Style Plus,,,,,,,,,,,,,,,,,,,Switzerland,Lombardia FC,Goalkeeper,Defense,48,57,68,45,68,38,58,30,54,13,9,22,13,13,83,82,85,87,89,10,38,24,15,83,46,64,20,64,8,,
37,Jules,Koundé,,180,3,3,1,LALIGA EA SPORTS,75,Center Back,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Slide Tackle,Stops ball at feet during slide tackles,Play Style,Aerial Fortress,Performs higher jumps and has physical defensive presence before and during aerial duels,Play Style,Quick Step,Faster acceleration during Explosive Sprint,Play Style,Relentless,"Increased half time fatigue recovery, longer teammate contain and press",Play Style,Jockey+,"Increased max Sprint Jockey speed, improved transition",Play Style Plus,,,,France,FC Barcelona,Right Back,Defense,85,70,91,87,85,78,78,81,82,78,87,78,47,26,11,10,8,14,13,80,75,43,69,86,82,48,86,70,32,Right Midfielder,
38,Bruno Miguel,Borges Fernandes,Bruno Fernandes,179,4,4,1,Premier League,69,Center Midfielder,Dead Ball,"Faster, accurate set pieces with longer trajectory preview",Play Style,Gamechanger,Fancy and Trivela shots are performed with improved accuracy.,Play Style,Incisive Pass,"Accurate through passes, curvier swerve passes, faster precision passes",Play Style,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Tiki Taka,Accurate first-time Ground Passes,Play Style,Inventive,Fancy and Trivela passes are performed with improved accuracy.,Play Style,Relentless+,"Max half time fatigue recovery, longer teammate contain and press",Play Style Plus,Portugal,Man Utd,Center Attacking Midfielder,Midfielder,68,78,69,95,61,84,73,87,85,85,62,82,80,85,12,14,15,8,14,63,90,91,86,90,90,86,71,92,87,,
39,William,Saliba,,193,2,3,1,Premier League,85,,Long Ball Pass,"Accurate, faster Lob and Lofted Through Passes",Play Style,Jockey,"Faster Sprint Jockey, better transition speed",Play Style,Anticipate+,"Significantly improved standing tackle success, possibility of stopping ball",Play Style Plus,,,,,,,,,,,,,France,Arsenal,Center Back,Defense,76,53,89,72,88,83,46,77,82,58,88,74,35,35,7,10,6,8,11,80,77,47,54,86,80,60,90,62,34,,
